REF_AREA,is_oecd_member,is_aggregate_area,sample_scope,stem_women_share,coding_gap_youth_M_minus_F,labour_force_participation_gap_M_minus_F,gender_wage_gap_median,part_time_employment_gap_F_minus_M,women_senior_middle_mgmt_share,stem_women_share_year,coding_gap_youth_M_minus_F_year,labour_force_participation_gap_M_minus_F_year,gender_wage_gap_median_year,part_time_employment_gap_F_minus_M_year,women_senior_middle_mgmt_share_year,latest_year_min,latest_year_max,latest_year_span
ARG,False,False,non-member / partner / candidate,,,19.077999999999996,9.0909090909,26.54591754732381,,,,2023.0,2024.0,2019.0,,2019.0,2024.0,5.0
AUS,True,False,OECD member,33.3525056474768,,7.650000000000006,10.671212968,16.92477668347941,39.39,2024.0,,2025.0,2024.0,2025.0,2024.0,2024.0,2025.0,1.0
AUT,True,False,OECD member,29.1902286589955,10.868199999999998,8.144000000000005,11.062251664,25.858781121736744,33.79,2024.0,2025.0,2025.0,2024.0,2025.0,2023.0,2023.0,2025.0,2.0
BEL,True,False,OECD member,28.3688226599017,9.9548,7.970000000000006,0.9069085089,18.3024292343407,33.69,2024.0,2025.0,2025.0,2022.0,2025.0,2023.0,2022.0,2025.0,3.0
BGR,False,False,non-member / partner / candidate,36.1558843011702,2.3699999999999997,9.686000000000007,2.3600736513,0.595541313165311,,2023.0,2025.0,2025.0,2024.0,2025.0,,2023.0,2025.0,2.0
BRA,False,False,non-member / partner / candidate,29.585041086432,11.77,20.040999999999997,10.0,8.463798148819969,,2024.0,2024.0,2024.0,2023.0,2024.0,,2023.0,2024.0,1.0
CAN,True,False,OECD member,35.6301659006174,16.86,7.673999999999992,16.497829233,10.034181663466736,,2024.0,2022.0,2025.0,2024.0,2025.0,,2022.0,2025.0,3.0
CHE,True,False,OECD member,26.0504836759371,9.923600000000004,7.638999999999996,11.014078997,29.028172232743522,31.9,2024.0,2025.0,2025.0,2024.0,2025.0,2023.0,2023.0,2025.0,2.0
CHL,True,False,OECD member,20.991544020218,3.9194092499999993,17.976,13.593248303,4.751383221521458,,2024.0,2017.0,2025.0,2023.0,2025.0,,2017.0,2025.0,8.0
COL,True,False,OECD member,34.6138933508471,4.206792269999999,24.075999999999993,0.5882352988,5.208570765266586,,2024.0,2024.0,2025.0,2024.0,2025.0,,2024.0,2025.0,1.0
CRI,True,False,OECD member,37.3155536124167,,24.528999999999996,7.3267319392,11.12959415689275,,2024.0,,2025.0,2024.0,2025.0,,2024.0,2025.0,1.0
CYP,False,False,non-member / partner / candidate,,,10.150999999999996,14.574985276,3.2535887164120516,,,,2025.0,2024.0,2025.0,,2024.0,2025.0,1.0
CZE,True,False,OECD member,34.1304826978179,15.5931,9.655000000000008,13.553866786,5.809154273731331,26.9,2024.0,2025.0,2025.0,2024.0,2025.0,2023.0,2023.0,2025.0,2.0
DEU,True,False,OECD member,28.7209842358518,6.286500000000001,7.929000000000002,13.467176917,25.231722993657016,26.76,2024.0,2025.0,2025.0,2024.0,2025.0,2023.0,2023.0,2025.0,2.0
